node_id,feature_id,value
35,0,1
35,1,1
35,2,1
35,3,1
35,4,1
35,5,1
35,6,1
35,7,1
35,8,1
35,9,1
35,10,1
35,11,1
35,12,1
35,13,1
35,14,1
35,15,1
35,16,1
35,17,1
35,18,1
35,19,1
40,20,1
40,21,1
40,22,1
40,23,1
40,24,1
40,25,1
40,26,1
40,27,1
40,28,1
40,29,1
40,30,1
40,31,1
40,32,1
40,12,1
40,13,1
40,33,1
40,34,1
40,35,1
114,36,1
114,37,1
114,1,1
114,38,1
114,29,1
114,39,1
114,40,1
114,32,1
114,41,1
114,42,1
114,43,1
114,44,1
117,0,1
117,45,1
117,46,1
117,47,1
117,48,1
117,49,1
117,50,1
117,51,1
117,52,1
117,53,1
117,13,1
117,54,1
117,55,1
117,56,1
117,57,1
117,58,1
117,59,1
117,60,1
117,61,1
117,62,1
128,45,1
128,63,1
128,64,1
128,65,1
128,38,1
128,29,1
128,66,1
128,67,1
128,68,1
128,50,1
128,69,1
128,53,1
128,70,1
128,11,1
128,71,1
128,13,1
128,72,1
128,73,1
128,60,1
128,74,1
130,75,1
130,23,1
130,26,1
130,47,1
130,63,1
130,38,1
130,76,1
130,77,1
130,78,1
130,79,1
130,80,1
130,81,1
130,82,1
130,83,1
130,84,1
130,85,1
130,86,1
130,87,1
130,72,1
130,56,1
130,88,1
130,89,1
164,90,1
164,91,1
164,92,1
164,93,1
164,94,1
164,38,1
164,79,1
164,95,1
164,82,1
164,96,1
164,97,1
164,98,1
164,99,1
164,100,1
164,101,1
164,102,1
164,103,1
164,104,1
164,105,1
288,0,1
288,106,1
288,22,1
288,107,1
288,26,1
288,28,1
288,108,1
288,109,1
288,79,1
288,110,1
288,111,1
288,112,1
288,113,1
288,81,1
288,86,1
288,114,1
288,115,1
288,13,1
288,116,1
288,34,1
288,117,1
424,118,1
424,119,1
424,48,1
424,120,1
424,111,1
424,121,1
424,122,1
424,123,1
424,124,1
424,125,1
424,126,1
424,127,1
424,13,1
424,128,1
424,129,1
424,130,1
424,131,1
424,132,1
434,133,1
434,134,1
434,135,1
434,24,1
434,26,1
434,136,1
434,93,1
434,38,1
434,137,1
434,138,1
434,139,1
434,140,1
434,141,1
434,142,1
434,143,1
434,71,1
434,144,1
434,145,1
434,146,1
434,147,1
434,148,1
434,149,1
463,0,1
463,150,1
463,24,1
463,25,1
463,26,1
463,151,1
463,92,1
463,152,1
463,31,1
463,153,1
463,80,1
463,154,1
463,82,1
463,49,1
463,155,1
463,156,1
463,157,1
463,158,1
463,34,1
463,159,1
504,90,1
504,160,1
504,2,1
504,108,1
504,6,1
504,120,1
504,161,1
504,162,1
504,163,1
504,164,1
504,11,1
504,165,1
504,71,1
504,166,1
504,167,1
504,168,1
504,169,1
504,170,1
504,171,1
506,20,1
506,172,1
506,134,1
506,106,1
506,173,1
506,174,1
506,24,1
506,175,1
506,120,1
506,176,1
506,163,1
506,177,1
506,178,1
506,179,1
506,180,1
506,181,1
506,182,1
506,183,1
506,184,1
506,156,1
506,185,1
506,186,1
506,158,1
506,187,1
506,188,1
506,189,1
887,190,1
887,38,1
887,191,1
887,192,1
887,193,1
906,194,1
906,195,1
906,196,1
906,197,1
906,153,1
906,79,1
906,198,1
906,120,1
906,199,1
906,200,1
906,201,1
906,9,1
906,86,1
906,202,1
906,203,1
906,204,1
906,205,1
906,206,1
906,144,1
906,207,1
906,18,1
906,59,1
910,208,1
910,209,1
910,26,1
910,38,1
910,76,1
910,80,1
910,210,1
910,211,1
910,9,1
910,212,1
910,213,1
910,214,1
910,215,1
910,216,1
910,217,1
910,218,1
910,158,1
910,219,1
910,220,1
936,21,1
936,221,1
936,63,1
936,65,1
936,38,1
936,78,1
936,222,1
936,223,1
936,224,1
936,225,1
936,161,1
936,226,1
936,180,1
936,11,1
936,227,1
936,182,1
936,165,1
936,71,1
936,228,1
936,229,1
936,230,1
936,231,1
936,101,1
940,45,1
940,232,1
940,22,1
940,26,1
940,47,1
940,6,1
940,120,1
940,233,1
940,234,1
940,235,1
940,236,1
940,237,1
940,238,1
940,158,1
940,239,1
940,240,1
940,60,1
941,22,1
941,26,1
941,151,1
941,63,1
941,38,1
941,76,1
941,241,1
941,108,1
941,242,1
941,243,1
941,244,1
941,245,1
941,246,1
941,182,1
941,247,1
941,236,1
941,248,1
941,240,1
941,249,1
941,250,1
941,251,1
941,252,1
941,89,1
943,45,1
943,22,1
943,253,1
943,26,1
943,151,1
943,38,1
943,241,1
943,254,1
943,108,1
943,243,1
943,244,1
943,255,1
943,256,1
943,182,1
943,247,1
943,248,1
943,257,1
943,102,1
943,240,1
943,250,1
943,251,1
943,252,1
943,89,1
1026,23,1
1026,26,1
1026,258,1
1026,259,1
1026,38,1
1026,7,1
1026,260,1
1026,261,1
1026,262,1
1026,263,1
1026,264,1
1026,235,1
1026,265,1
1026,184,1
1026,266,1
1026,267,1
1026,268,1
1026,269,1
1033,270,1
1033,45,1
1033,26,1
1033,271,1
1033,64,1
1033,38,1
1033,272,1
1033,48,1
1033,273,1
1033,7,1
1033,274,1
1033,263,1
1033,275,1
1033,276,1
1033,277,1
1033,278,1
1033,12,1
1033,279,1
1033,116,1
1033,280,1
1033,281,1
1033,282,1
1033,269,1
1033,283,1
1034,270,1
1034,45,1
1034,26,1
1034,258,1
1034,271,1
1034,64,1
1034,38,1
1034,48,1
1034,198,1
1034,7,1
1034,284,1
1034,285,1
1034,263,1
1034,275,1
1034,264,1
1034,226,1
1034,278,1
1034,12,1
1034,286,1
1034,287,1
1034,288,1
1034,282,1
1034,283,1
1035,289,1
1035,290,1
1035,291,1
1035,47,1
1035,292,1
1035,5,1
1035,38,1
1035,29,1
1035,254,1
1035,138,1
1035,293,1
1035,294,1
1035,7,1
1035,162,1
1035,295,1
1035,49,1
1035,143,1
1035,40,1
1035,274,1
1035,54,1
1035,296,1
1035,297,1
1035,298,1
1035,299,1
1213,300,1
1213,301,1
1213,196,1
1213,302,1
1213,24,1
1213,303,1
1213,152,1
1213,48,1
1213,191,1
1213,224,1
1213,304,1
1213,154,1
1213,243,1
1213,305,1
1213,306,1
1213,307,1
1213,308,1
1213,309,1
1213,310,1
1213,311,1
1213,312,1
1213,313,1
1213,314,1
1237,21,1
1237,2,1
1237,315,1
1237,38,1
1237,316,1
1237,317,1
1246,24,1
1246,38,1
1246,13,1
1246,72,1
1246,311,1
1246,158,1
1272,120,1
1272,318,1
1272,255,1
1272,319,1
1272,320,1
1272,192,1
1272,145,1
1272,60,1
1272,269,1
1365,134,1
1365,118,1
1365,23,1
1365,38,1
1365,321,1
1365,119,1
1365,322,1
1365,108,1
1365,79,1
1365,323,1
1365,324,1
1365,325,1
1365,326,1
1365,327,1
1365,128,1
1365,328,1
1365,329,1
1365,330,1
1365,331,1
1365,282,1
1385,332,1
1385,160,1
1385,38,1
1385,29,1
1385,333,1
1385,334,1
1385,109,1
1385,335,1
1385,336,1
1385,9,1
1385,337,1
1385,338,1
1385,235,1
1385,339,1
1385,340,1
1385,115,1
1385,54,1
1385,265,1
1385,341,1
1385,342,1
1385,298,1
1481,21,1
1481,63,1
1481,38,1
1481,120,1
1481,343,1
1481,344,1
1481,67,1
1481,345,1
1481,346,1
1481,97,1
1481,179,1
1481,347,1
1481,215,1
1481,182,1
1481,348,1
1481,257,1
1481,349,1
1481,249,1
1481,281,1
1688,195,1
1688,175,1
1688,350,1
1688,2,1
1688,315,1
1688,334,1
1688,139,1
1688,48,1
1688,154,1
1688,351,1
1688,67,1
1688,352,1
1688,12,1
1688,13,1
1688,353,1
1688,354,1
1688,129,1
1688,230,1
1688,355,1
1688,356,1
1688,104,1
1688,61,1
1694,357,1
1694,358,1
1694,359,1
1694,26,1
1694,94,1
1694,334,1
1694,360,1
1694,361,1
1694,67,1
1694,9,1
1694,362,1
1694,363,1
1694,364,1
1694,365,1
1694,13,1
1694,18,1
1694,366,1
1717,367,1
1717,232,1
1717,173,1
1717,368,1
1717,369,1
1717,370,1
1717,371,1
1717,28,1
1717,38,1
1717,372,1
1717,82,1
1717,373,1
1717,374,1
1717,375,1
1717,165,1
1717,13,1
1717,217,1
1717,376,1
1717,377,1
1717,378,1
1717,379,1
1717,105,1
1717,366,1
1786,4,1
1786,5,1
1786,38,1
1786,380,1
1786,132,1
1817,0,1
1817,1,1
1817,26,1
1817,38,1
1817,30,1
1817,381,1
1817,245,1
1817,318,1
1817,274,1
1817,382,1
1817,347,1
1817,12,1
1817,13,1
1817,317,1
1817,383,1
1817,384,1
1817,385,1
1817,386,1
1817,60,1
1817,387,1
1919,21,1
1919,302,1
1919,25,1
1919,2,1
1919,388,1
1919,258,1
1919,389,1
1919,390,1
1919,360,1
1919,110,1
1919,162,1
1919,9,1
1919,391,1
1919,32,1
1919,392,1
1919,184,1
1919,393,1
1919,394,1
1919,395,1
1919,58,1
1919,59,1
1949,21,1
1949,46,1
1949,151,1
1949,292,1
1949,94,1
1949,38,1
1949,152,1
1949,80,1
1949,326,1
1949,161,1
1949,396,1
1949,397,1
1949,319,1
1949,227,1
1949,182,1
1949,398,1
1949,399,1
1949,400,1
1949,102,1
1949,401,1
1949,299,1
1949,280,1
1949,89,1
1951,402,1
1951,403,1
1951,236,1
1951,257,1
1951,280,1
1952,118,1
1952,302,1
1952,404,1
1952,47,1
1952,94,1
1952,38,1
1952,334,1
1952,48,1
1952,161,1
1952,405,1
1952,406,1
1952,319,1
1952,226,1
1952,182,1
1952,129,1
1952,185,1
1952,400,1
1952,34,1
1952,257,1
1952,102,1
1952,59,1
1952,280,1
1953,407,1
1953,45,1
1953,1,1
1953,408,1
1953,26,1
1953,258,1
1953,47,1
1953,108,1
1953,409,1
1953,410,1
1953,411,1
1953,162,1
1953,182,1
1953,167,1
1953,412,1
1953,239,1
1953,401,1
1953,413,1
1955,25,1
1955,38,1
1955,191,1
1955,225,1
1955,161,1
1955,8,1
1955,414,1
1955,415,1
1955,416,1
1955,417,1
1955,192,1
1955,298,1
1955,89,1
1955,418,1
1955,419,1
1956,21,1
1956,368,1
1956,135,1
1956,46,1
1956,26,1
1956,315,1
1956,38,1
1956,30,1
1956,410,1
1956,120,1
1956,111,1
1956,316,1
1956,243,1
1956,343,1
1956,260,1
1956,420,1
1956,414,1
1956,421,1
1956,240,1
1956,187,1
1959,258,1
1959,151,1
1959,422,1
1959,92,1
1959,94,1
1959,38,1
1959,152,1
1959,423,1
1959,161,1
